time,input,state_LID,output_LID,state_EXD,output_EXD
time,0,679207211,0,690033300,0
time,0,678407211,0,689359440,0
time,0,677607211,0,688686238,0
time,0,676807211,0,688013693,0
time,0,676007211,0,687341805,0
time,0,675207211,0,686670573,0
time,0,674407211,0,685999997,0
time,0,673607211,0,685330076,0
time,0,672807211,0,684660809,0
time,0,672007211,0,683992195,0
time,0,671207211,0,683324234,0
time,0,670407211,0,682656926,0
time,0,669607211,0,681990269,0
time,0,668807211,0,681324263,0
time,0,668007211,0,680658908,0
time,0,667207211,0,679994203,0
time,0,666407211,0,679330147,0
time,0,665607211,0,678666739,0
time,0,664807211,0,678003979,0
time,0,664007211,0,677341866,0
time,0,663207211,0,676680400,0
time,0,662407211,0,676019580,0
time,0,661607211,0,675359405,0
time,0,660807211,0,674699875,0
time,0,660007211,0,674040989,0
time,0,659207211,0,673382746,0
time,0,658407211,0,672725146,0
time,0,657607211,0,672068188,0
time,0,656807211,0,671411872,0
time,0,656007211,0,670756197,0
time,0,655207211,0,670101162,0
time,0,654407211,0,669446767,0
time,0,653607211,0,668793011,0
time,0,652807211,0,668139893,0
time,0,652007211,0,667487413,0
time,0,651207211,0,666835570,0
time,0,650407211,0,666184364,0
time,0,649607211,0,665533794,0
time,0,648807211,0,664883859,0
time,0,648007211,0,664234559,0
time,0,647207211,0,663585893,0
time,0,646407211,0,662937860,0
time,0,645607211,0,662290460,0
time,0,644807211,0,661643692,0
time,0,644007211,0,660997556,0
time,0,643207211,0,660352051,0
time,0,642407211,0,659707176,0
time,0,641607211,0,659062931,0
time,0,640807211,0,658419315,0
time,0,640007211,0,657776328,0
time,0,639207211,0,657133969,0
time,0,638407211,0,656492237,0
time,0,637607211,0,655851132,0
time,0,636807211,0,655210653,0
time,0,636007211,0,654570799,0
time,0,635207211,0,653931570,0
time,0,634407211,0,653292965,0
time,0,633607211,0,652654984,0
time,0,632807211,0,652017626,0
time,0,632007211,0,651380891,0
time,0,631207211,0,650744777,0
time,0,630407211,0,650109285,0
time,0,629607211,0,649474413,0
time,0,628807211,0,648840161,0
time,0,628007211,0,648206529,0
time,0,627207211,0,647573515,0
time,0,626407211,0,646941119,0
time,0,625607211,0,646309341,0
time,0,624807211,0,645678180,0
time,0,624007211,0,645047635,0
time,0,623207211,0,644417706,0
time,0,622407211,0,643788392,0
time,0,621607211,0,643159693,0
time,0,620807211,0,642531608,0
time,0,620007211,0,641904136,0
time,0,619207211,0,641277277,0
time,0,618407211,0,640651030,0
time,0,617607211,0,640025395,0
time,0,616807211,0,639400371,0
